Origin City,Origin State,Destination City,Destination State,Route Class,Priority,Distance,Cost
ANNISTON,AL,BAYPORT,TX,Red,1,808,3105.12
ANNISTON,AL,HOUSTON,TX,Green,1,779,3357.28
MAGNESS,AR,KINGSPORT,TN,Green,2,657,2670.23
MAGNESS,AR,BAYPORT,TX,Red,1,610,2715.14
VERNON,CA,HARPERTOWN,CA,Red,1,235,2241.49
GRACEWOOD,GA,KINGSPORT,TN,Red,1,395,1577.01
ARGO,IL,SAUGET,IL,Red,1,358,1613.61
CHICAGO HEIGHTS,IL,KINGSPORT,TN,Blue,1,730,2273.01
BATON ROUGE,LA,WEST ELIZABETH,PA,Green,1,1328,6414.26
PLAQUEMINE,LA,KINGSPORT,TN,Green,2,797,3165.41
PLAQUEMINE,LA,BAYPORT,TX,Red,1,330,1915.26
PLAQUEMINE,LA,ARGO,IL,Red,1,1019,2772.01
PLAQUEMINE,LA,LONGVIEW,TX,Red,1,289,1855.38
PLAQUEMINE,LA,TALLA BENA,LA,Red,1,270,1805.94
PLAQUEMINE,LA,CROSBY,TX,Red,1,254,1763.4
PLAQUEMINE,LA,TALLA BENA,LA,Red,1,342,1988.05
ST ROSE,LA,KINGSPORT,TN,Green,3,734,2203.37
TAFT,LA,KINGSPORT,TN,Green,2,741,3119.63
TAFT,LA,LONGVIEW,TX,Red,1,344,2169.32
TAFT,LA,ARGO,IL,Red,1,1059,3415.11
WORTON,MD,GARLAND,TX,Green,1,1658,5294.44
WORTON,MD,VERNON,CA,Red,1,3112,7126.23
MONROE,NC,KINGSPORT,TN,Red,1,247,1737.27
NEUSE,NC,KINGSPORT,TN,Red,2,407,2134.93
WILMINGTON,NC,KINGSPORT,TN,Red,2,416,2155.65
PORT NEWARK,NJ,KINGSPORT,TN,Blue,1,761,1845.54
WEST ELIZABETH,PA,HICKORY,NC,Red,1,792,3448.28
WEST ELIZABETH,PA,HUDSON,NC,Red,1,813,4069.06
WEST ELIZABETH,PA,NEVILLE ISLAND,PA,Red,1,400,1322.48
WEST ELIZABETH,PA,DANVILLE,VA,Red,1,635,4828.37
CHARLESTON,SC,KINGSPORT,TN,Blue,2,468,1731.1
EASTMAN,SC,BROWN SUMMIT,NC,Red,2,227,2196.19
EASTMAN,SC,BARDSTOWN,KY,Red,1,716,4171.12
EASTMAN,SC,SIOUX CITY,IA,Red,1,1859,4927.91
EASTMAN,SC,RURAL RETREAT,VA,Red,1,435,2657.52
EASTMAN,SC,GASTON,SC,Red,1,9,982.18
EASTMAN,SC,KINGSPORT,TN,Red,1,305,1888.96
EASTMAN,SC,FLORENCE,SC,Red,1,159,1017.86
EASTMAN,SC,MILLWOOD,WV,Red,1,915,3348.36
BROWNSVILLE,TN,INDIAN ORCHARD,MA,Red,1,1344,4132.27
BROWNSVILLE,TN,VERNON,CA,Red,1,2131,6098.9
BROWNSVILLE,TN,KINGSPORT,TN,Red,1,858,3059.05
BROWNSVILLE,TN,HAMILTON,ON,Green,1,931,4099.67
BROWNSVILLE,TN,CALHOUN,GA,Red,1,500,2075.95
KINGSPORT,TN,BAYPORT,TX,Green,4,1105,3049.82
KINGSPORT,TN,EASTMAN,SC,Red,3,296,1651.44
KINGSPORT,TN,ASHEBORO,NC,Red,3,343,2497.14
KINGSPORT,TN,ARGO,IL,Green,2,742,2068.29
KINGSPORT,TN,LONGVIEW,TX,Blue,2,944,2859.76
KINGSPORT,TN,TEXAS CITY,TX,Blue,2,1122,3177.31
KINGSPORT,TN,NIAGARA FALLS,NY,Red,2,700,2939.49
KINGSPORT,TN,NEUSE,NC,Red,2,409,2653.45
KINGSPORT,TN,CHARITY CHURCH,SC,Red,2,457,2842.47
KINGSPORT,TN,MIDDLETON,SC,Red,2,454,2425.32
KINGSPORT,TN,OSHKOSH,WI,Green,2,908,3177.03
KINGSPORT,TN,CHICAGO HEIGHTS,IL,Blue,2,605,2019.1
KINGSPORT,TN,PORT BIENVILLE,MS,Red,1,851,4424.65
KINGSPORT,TN,PERTH AMBOY,NJ,Blue,1,751,1732.56
KINGSPORT,TN,CITY OF INDUSTRY,CA,Green,1,2973,7330.43
KINGSPORT,TN,ORLANDO,FL,Red,1,720,4148
KINGSPORT,TN,GRIFFIN,GA,Red,1,366,2222.34
KINGSPORT,TN,VERNON,CA,Green,1,2594,6927.58
KINGSPORT,TN,STRANG,TX,Blue,1,1099,2702.42
